               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.046714,             0.35045,                   0,             0.95558,             0.92716,              0.9709,             0.50621,             0.04283,             0.28463,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.045925,             0.38628,                   0,             0.94821,             0.92328,             0.96383,             0.50072,            0.043166,              0.2868,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.045879,             0.38961,                   0,             0.95643,             0.90838,             0.96072,             0.48383,            0.043699,             0.28835,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.045831,             0.38106,                   0,             0.95574,             0.93073,             0.97259,             0.50426,            0.043046,             0.28691,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.045838,             0.37872,                   0,                0.96,             0.93094,             0.97217,             0.50912,            0.042789,             0.28867,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.045229,             0.37658,                   0,             0.95619,             0.91983,             0.96495,             0.49285,            0.043649,             0.29331,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.045725,             0.38294,                   0,             0.95927,             0.93448,             0.97123,              0.5052,            0.043108,             0.29139,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.044106,             0.36086,                   0,             0.95045,               0.926,             0.96071,             0.48391,            0.043784,             0.28859,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.047167,             0.38278,                   0,             0.95496,             0.93217,             0.97228,             0.50461,            0.042754,              0.2871,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.045734,              0.3825,                   0,             0.96104,             0.93568,             0.97185,             0.51337,            0.042609,             0.28731,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.044072,               0.357,                   0,             0.96151,             0.92589,             0.97053,             0.51673,            0.042255,             0.28538,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.044911,             0.37098,                   0,             0.94817,             0.92931,             0.97049,              0.4869,            0.043796,              0.2881,                   0,            0.004786,            0.004786,            0.004786
                 160,             0.04674,             0.35192,                   0,             0.95704,             0.92193,             0.96957,             0.51066,            0.042717,             0.28965,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.044727,             0.35776,                   0,             0.95439,              0.9319,             0.97199,             0.50276,            0.043237,             0.28867,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.044506,              0.3518,                   0,              0.9627,             0.93454,             0.97126,             0.51652,            0.042463,             0.28607,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.047982,             0.40875,                   0,             0.95799,             0.92931,             0.96744,             0.48302,            0.044276,             0.28746,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.047148,             0.36717,                   0,             0.95586,             0.92155,             0.96535,             0.51031,              0.0427,             0.28891,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.045188,             0.37169,                   0,               0.956,             0.93651,             0.97022,             0.49374,            0.043109,             0.28743,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.045614,             0.36944,                   0,             0.94884,               0.925,             0.96458,             0.51063,            0.042628,             0.28761,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.044295,             0.36324,                   0,             0.96084,             0.91983,              0.9694,             0.48916,            0.043247,             0.28832,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.04558,              0.3629,                   0,             0.95704,             0.92185,             0.96747,             0.50572,            0.043049,             0.29232,                   0,            0.004489,            0.004489,            0.004489
